title,genre,director,country,year,imdb_id,imdb_rating
"Амар, Акбар, Антони",комедия,Манмохан Десаи,Индия,1977,tt0075669,
«Аманда ночью»,"порнофильм, криминальная драма, триллер",Гэри Грейвер,США,1981,tt0082004,
Американец в Риме,комедия,Стено,Италия,1954,tt0046705,
Аманда и инопланетянин,"фантастика, комедия",Джон Кролл,США,,tt0112339,
Амангельды,историческая драма,Моисей Левин,СССР,1938,tt0031037,
Аманат,"биография, история, военный, драма","Антон Сиверс, Рауф Кубаев",Россия,2022,tt19812266,
Америка,Криминальная драма,Жуан Нуно Пинту,Испания,2010,tt1322266,
Амазонки на Луне,"фантастика, скетч-шоу","Джо Данте, Джон Лэндис, Карл Готлиб, Питер Хортон, Роберт К. Уайсс",США,1987,tt0092546,
Амайа. Дитя вампира,"драматический фильм, фэнтезийный фильм, фильм о вампирах",Игорь Легаррета,,2021,tt11892482,
Амазонка в огне,приключения,Луис Льоса,"Перу, США",1993,tt0106913,
Аноним,фильм-биография,Роланд Эммерих,"Германия, Великобритания, США",2011,tt1521197,
Ангелы ада ’69,боевик,Ли Мэдден,США,1969,tt0064415,
Анна Бонд,"боевик, мелодрама, драма",Дуния Сури,Индия,2012,tt2146950,
Амелия,"биография, драма, мелодрама",Мира Наир,"США, Канада",2009,tt1129445,
Аманда,драматический фильм,Каролина Кавалли,"Италия, Франция","5 сентября, 2022, 13 октября, 2022",tt18469872,
Аннушка,драма,Борис Барнет,СССР,1959,tt0052568,
Анон,"антиутопический фильм, научно-фантастический фильм, кинофантастика, фильм-триллер, киберпанк",Эндрю Никкол,Великобритания,2018,tt5397194,
Аннычка,"драма, военный",Борис Ивченко,СССР,1968,tt0312363,
Аннигиляция,"научная фантастика, фильм ужасов",Алекс Гарленд,"Великобритания, США",2018,tt2798920,
Аманат,Драма,Сатыбалды Нарымбетов,Казахстан,2015,tt4564526,
Анна: от 6 до 18,"документальный фильм, фильм-биография, исторический фильм",Никита Михалков,"Россия, Франция",1993,tt0106290,
Аннетт,мюзикл,Леос Каракс,"Франция, Германия, Бельгия",2021,tt6217926,
Анна Эйдеш,"драма, экранизация",Золтан Фабри,Венгрия,1958,tt0052438,
Анна Тристер,Мелодрама,Леа Пул,Канада,1986,tt0090648,
Анна свободна,Мелодрама,Венди Джо Карлтон,США,2009,tt1315214,
Анна Политковская: семь лет на линии фронта,Документальный фильм,Мария Новикова,Нидерланды,2008,tt3509346,
Амбициозная кунгфуистка,"боевик, приключенческий фильм",Лу Цзюньгу,Гонконг,1981,tt0084014,
Анна на шее,драма,Исидор Анненский,СССР,1954,tt0046715,
Анна Николь,биография,Киони Уоксмен,США,2007,tt1009012,
Анна Ли,музыкальный фильм,Мона Фастволд,,,tt34819091,
Анна Кристи,драма,Кларенс Браун,США,1930,tt0020641,
«Анна Каренина. История Вронского»,драма,Карен Шахназаров,Россия,2017,tt6966538,
Анна Лукаста,"Фильм нуар, Мелодрама",Ирвинг Рэппер,США,1949,tt0041125,
Анна Каренина,драма,Сергей Соловьёв,Россия,2009,tt0403726,
Анна Каренина,мелодрама,Саймон Лэнгтон,США,,tt0088726,
Анна Каренина,"драма, любовная история",Бернард Роуз,"США, Россия, Великобритания",1997,tt0118623,
Анна Каренина,"историческая, романтическая драма",Джо Райт,"Великобритания, США",2012,tt1781769,
«Анна Каренина»,драма,Александр Зархи,СССР,1967,tt0061359,
Анна Каренина,"драма, мелодрама",Жюльен Дювивье,Великобритания,1948,tt0040098,
Анна Каренина,фильм-балет,Маргарита Пилихина,СССР,1974,tt0166082,
Анна Каренина,мелодрама,Кларенс Браун,США,1935,tt0026071,
Анна Каренина,драма,Владимир Гардин,Российская империя,1914,tt0003625,
Анна Каренина,драма,Кристиан Дюгей,Италия,2013,tt2821430,
Анна Каренина,"драматический фильм, немое кино, экранизация романа",Морис Метр,Российская империя,1911,tt0210518,
Анна Карамазофф,Драма,Рустам Хамдамов,"СССР, Франция",1991,tt0220309,
Анна и Элизабет,драма,Франк Висбар,Нацистская Германия,1933,tt0023760,
Анна,"боевик, триллер, шпионский фильм",Люк Бессон,Франция,2019,tt7456310,
Анна,музыкальный фильм,Пьер Коральник,Франция,1967,tt0090647,
Анна и король,"мелодрама, драма, исторический",Энди Теннант,США,1999,tt0166485,
Анна и Командор,мелодрама,Евгений Хринюк,СССР,1974,tt0071146,
Анна,"мелодрама, семейный фильм",нем.,ФРГ,1988,tt0094661,
Анна Павлова,"драма, биография, исторический, музыкальный",Эмиль Лотяну,"СССР, Великобритания, ГДР, Куба, Франция",,tt0086089,
Анна,"постапокалипсис, антиутопия",Никколо Амманити,Италия,2021,tt11199132,
Анжель,драматический фильм,Марсель Паньоль,Франция,1934,tt0024830,
Анискин и Фантомас,"детективный фильм, комедия","Михаил Жаров, Виталий Иванов, Владимир Рапопорт",СССР,,tt1095166,
Анима мунди,документальный фильм,Годфри Реджио,США,1992,tt0101349,
Анклав,драма,Горан Радованович,"Сербия, Германия",2015,tt2886632,
"Анкор, ещё анкор!",драма,Пётр Тодоровский,Россия,1992,tt0103698,
"Анжелика, маркиза ангелов","мелодрама, приключения",Ариель Зейтун,Франция,2013,tt2776074,
Анжелика — маркиза ангелов,"экранизация, приключенческий фильм, мелодрама",Бернар Бордери,ФРГ,,tt0057846,
Анжелика в гневе,"экранизация, приключенческий фильм, мелодрама",Бернар Бордери,ФРГ,1965,tt0058343,
Анжелика и султан,приключенческий фильм,Бернар Бордери,"Франция, Италия, Германия",1968,tt0061357,
