title,genre,director,country,year,imdb_id,imdb_rating
Американская трагедия,драматический фильм,Джозеф фон Штернберг,США,1931,tt0021607,6.4
Американская сказка,"фэнтези, комедия",Дэвид Цукер,США,2008,tt1190617,4.0
Американский друг,драма,Вим Вендерс,ФРГ,1977,tt0075675,7.4
Американская Мэри,"фильм ужасов, триллер","Джен Соска, Сильвия Соска",Канада,2012,tt1959332,6.2
Американская рапсодия,"биографический фильм, история взросления, драматический фильм",Эва Гардос,США,2001,tt0221799,6.7
Американская пастораль,драма,Юэн Макгрегор,США,2016,tt0376479,6.1
Американская мечта,"комедия, музыка",Пол Вайц,США,2006,tt0465142,5.5
Американская ночь,трагикомедия,Франсуа Трюффо,"Франция, Италия",1973,tt0070460,8.0
Американская милашка,Роуд-муви,Андреа Арнольд,"Великобритания, США",2016,tt3721936,7.0
Американская интрижка,"комедия, драма",Уильям Олсон,США,2008,tt0899138,6.1
Американская история Икс,"драма, криминал, Инструментальная, электроакустическая",Тони Кэй,США,1998,tt0120586,8.5
Американская звезда,фильм-триллер,Гонсало Лопес-Гальего,США,2024,tt19984386,5.5
Американская дочь,"трагикомедия, роуд-муви",Карен Шахназаров,"Россия, США",1995,tt0112348,6.3
Американская жестокость,"криминальный фильм, драматический фильм",Тимоти Вудворд мл.,США,2016,tt5848714,4.5
Американка,"драма, трагикомедия",Дмитрий Месхиев,Россия,1997,tt0149650,6.9
Американец,драматический фильм,Майкл А. Гурджиан,Армения,2022,tt13616368,7.4
Американизируй меня,драма,Эдвард Джеймс Олмос,США,1992,tt0103671,7.1
Американизация Эмили,"драма, комедия, военный, мелодрама, экранизация",Артур Хиллер,США,1964,tt0057840,7.3
Американец в Париже,,Винсент Миннелли,США,1951,tt0043278,7.1
Американец,"драма, криминальный фильм",Антон Корбейн,США,2010,tt1440728,6.3
Американские приключения,"боевик, приключенческий фильм, исторический фильм","Саммо Хун, Лау Кавин",Гонконг,1997,tt0120530,6.3
Американа,драма,Дэвид Кэррадайн,США,1983,tt0082011,6.4
Американка,драма,Семи Челлас,"Канада, США",2019,tt9109492,5.1
"Америка, Америка","драма, мистика",Элиа Казан,США,1963,tt0056825,7.7
Америка 3000,постапокалиптика,Дэвид Энгельбах,США,1986,tt0090630,4.2
Амели,романтическая комедия,Жан-Пьер Жёне,Франция,2001,tt0211915,8.3
Американская басня,триллер,Энн Хэмилтон,США,2016,tt4671002,5.8
Амаркорд,"комедия, драма",Федерико Феллини,Италия,1973,tt0071129,7.8
Амбивалентность,"триллер, драма",Антон Бильжо,Россия,2019,tt8896336,5.8
"Амар, Акбар, Антони",комедия,Манмохан Десаи,Индия,1977,tt0075669,7.4
«Аманда ночью»,"порнофильм, криминальная драма, триллер",Гэри Грейвер,США,1981,tt0082004,6.2
Американец в Риме,комедия,Стено,Италия,1954,tt0046705,6.9
Амангельды,историческая драма,Моисей Левин,СССР,1938,tt0031037,5.5
Аманда и инопланетянин,"фантастика, комедия",Джон Кролл,США,,tt0112339,4.7
Америка,Криминальная драма,Жуан Нуно Пинту,Испания,2010,tt1322266,6.2
Аманат,"биография, история, военный, драма","Антон Сиверс, Рауф Кубаев",Россия,2022,tt19812266,6.6
Амазонки на Луне,"фантастика, скетч-шоу","Джо Данте, Джон Лэндис, Карл Готлиб, Питер Хортон, Роберт К. Уайсс",США,1987,tt0092546,6.2
Амайа. Дитя вампира,"драматический фильм, фэнтезийный фильм, фильм о вампирах",Игорь Легаррета,,2021,tt11892482,6.6
Амазонка в огне,приключения,Луис Льоса,"Перу, США",1993,tt0106913,3.5
Ангелы ада ’69,боевик,Ли Мэдден,США,1969,tt0064415,5.3
Анна Бонд,"боевик, мелодрама, драма",Дуния Сури,Индия,2012,tt2146950,4.5
Аноним,фильм-биография,Роланд Эммерих,"Германия, Великобритания, США",2011,tt1521197,6.8
Амелия,"биография, драма, мелодрама",Мира Наир,"США, Канада",2009,tt1129445,5.8
Анон,"антиутопический фильм, научно-фантастический фильм, кинофантастика, фильм-триллер, киберпанк",Эндрю Никкол,Великобритания,2018,tt5397194,6.1
Аннушка,драма,Борис Барнет,СССР,1959,tt0052568,6.1
Аманда,драматический фильм,Каролина Кавалли,"Италия, Франция","5 сентября, 2022, 13 октября, 2022",tt18469872,6.5
Аннычка,"драма, военный",Борис Ивченко,СССР,1968,tt0312363,7.5
Аннигиляция,"научная фантастика, фильм ужасов",Алекс Гарленд,"Великобритания, США",2018,tt2798920,6.8
Аннетт,мюзикл,Леос Каракс,"Франция, Германия, Бельгия",2021,tt6217926,6.3
Анна Эйдеш,"драма, экранизация",Золтан Фабри,Венгрия,1958,tt0052438,7.4
Аманат,Драма,Сатыбалды Нарымбетов,Казахстан,2015,tt4564526,7.2
Анна: от 6 до 18,"документальный фильм, фильм-биография, исторический фильм",Никита Михалков,"Россия, Франция",1993,tt0106290,7.4
Анна Тристер,Мелодрама,Леа Пул,Канада,1986,tt0090648,7.3
Анна свободна,Мелодрама,Венди Джо Карлтон,США,2009,tt1315214,6.5
Амбициозная кунгфуистка,"боевик, приключенческий фильм",Лу Цзюньгу,Гонконг,1981,tt0084014,6.3
Анна Политковская: семь лет на линии фронта,Документальный фильм,Мария Новикова,Нидерланды,2008,tt3509346,7.9
Анна на шее,драма,Исидор Анненский,СССР,1954,tt0046715,6.8
Анна Николь,биография,Киони Уоксмен,США,2007,tt1009012,4.1
Анна Ли,музыкальный фильм,Мона Фастволд,,,tt34819091,Рейтинг не найден
«Анна Каренина. История Вронского»,драма,Карен Шахназаров,Россия,2017,tt6966538,6.3
Анна Кристи,драма,Кларенс Браун,США,1930,tt0020641,6.5
Анна Лукаста,"Фильм нуар, Мелодрама",Ирвинг Рэппер,США,1949,tt0041125,6.1
Анна Каренина,драма,Сергей Соловьёв,Россия,2009,tt0403726,6.1
Анна Каренина,мелодрама,Саймон Лэнгтон,США,,tt0088726,6.3
Анна Каренина,"драма, любовная история",Бернард Роуз,"США, Россия, Великобритания",1997,tt0118623,6.3
Анна Каренина,"историческая, романтическая драма",Джо Райт,"Великобритания, США",2012,tt1781769,6.6
«Анна Каренина»,драма,Александр Зархи,СССР,1967,tt0061359,7.0
Анна Каренина,"драма, мелодрама",Жюльен Дювивье,Великобритания,1948,tt0040098,6.6
Анна Каренина,фильм-балет,Маргарита Пилихина,СССР,1974,tt0166082,6.8
Анна Каренина,мелодрама,Кларенс Браун,США,1935,tt0026071,7.0
Анна Каренина,драма,Кристиан Дюгей,Италия,2013,tt2821430,7.2
Анна и Элизабет,драма,Франк Висбар,Нацистская Германия,1933,tt0023760,7.1
Анна Карамазофф,Драма,Рустам Хамдамов,"СССР, Франция",1991,tt0220309,6.8
Анна Каренина,"драматический фильм, немое кино, экранизация романа",Морис Метр,Российская империя,1911,tt0210518,5.2
Анна,"боевик, триллер, шпионский фильм",Люк Бессон,Франция,2019,tt7456310,6.7
Анна,музыкальный фильм,Пьер Коральник,Франция,1967,tt0090647,6.8
Анна и король,"мелодрама, драма, исторический",Энди Теннант,США,1999,tt0166485,6.7
Анна и Командор,мелодрама,Евгений Хринюк,СССР,1974,tt0071146,6.5
Анна,"мелодрама, семейный фильм",нем.,ФРГ,1988,tt0094661,5.3
Анна Павлова,"драма, биография, исторический, музыкальный",Эмиль Лотяну,"СССР, Великобритания, ГДР, Куба, Франция",,tt0086089,6.9
Анна,"постапокалипсис, антиутопия",Никколо Амманити,Италия,2021,tt11199132,7.0
Анжель,драматический фильм,Марсель Паньоль,Франция,1934,tt0024830,7.3
Анискин и Фантомас,"детективный фильм, комедия","Михаил Жаров, Виталий Иванов, Владимир Рапопорт",СССР,,tt1095166,6.4
Анима мунди,документальный фильм,Годфри Реджио,США,1992,tt0101349,7.5
Анклав,драма,Горан Радованович,"Сербия, Германия",2015,tt2886632,7.5
"Анкор, ещё анкор!",драма,Пётр Тодоровский,Россия,1992,tt0103698,6.9
Анжелика в гневе,"экранизация, приключенческий фильм, мелодрама",Бернар Бордери,ФРГ,1965,tt0058343,6.6
"Анжелика, маркиза ангелов","мелодрама, приключения",Ариель Зейтун,Франция,2013,tt2776074,6.1
Анжелика — маркиза ангелов,"экранизация, приключенческий фильм, мелодрама",Бернар Бордери,ФРГ,,tt0057846,6.7
Анжелика и султан,приключенческий фильм,Бернар Бордери,"Франция, Италия, Германия",1968,tt0061357,6.3
Анна Каренина,драма,Владимир Гардин,Российская империя,1914,tt0003625,5.2
Анетта,"киноновелла, экранизация",Георгий Шмованов,СССР,1966,tt13124532,Рейтинг не найден
Анечка идёт в школу,"детский, экранизация",Милан Вошмик,Чехословакия,1962,tt0055751,6.0
